Date,Price,Open,High,Low,Vol,Change%
"Dec 26, 2023","2,089.60","2,085.40","2,100.00","2,084.90",3.86K,+0.04%
"Dec 22, 2023","2,088.80","2,080.00","2,102.30","2,077.90",6.24K,+0.86%
"Dec 21, 2023","2,071.00","2,064.10","2,077.60","2,063.10",3.26K,+0.18%
"Dec 20, 2023","2,067.30","2,073.40","2,075.80","2,060.30",3.74K,-0.22%
"Dec 19, 2023","2,071.80","2,060.70","2,080.50","2,054.50",9.60K,+0.57%
"Dec 18, 2023","2,060.10","2,052.90","2,067.30","2,048.90",7.03K,+0.24%
"Dec 15, 2023","2,055.20","2,070.40","2,078.90","2,048.80",6.17K,-0.44%
"Dec 14, 2023","2,064.20","2,063.00","2,082.00","2,058.90",9.22K,+2.36%
"Dec 13, 2023","2,016.70","2,014.50","2,062.50","2,007.60",10.03K,+0.21%
"Dec 12, 2023","2,012.50","2,016.80","2,031.20","2,012.30",5.79K,-0.02%
"Dec 11, 2023","2,013.00","2,038.80","2,043.00","2,010.70",10.54K,-1.03%
"Dec 08, 2023","2,033.90","2,065.00","2,069.70","2,029.90",10.06K,-1.54%
"Dec 07, 2023","2,065.80","2,062.80","2,076.30","2,056.00",8.52K,-0.07%
"Dec 06, 2023","2,067.30","2,056.70","2,072.30","2,055.00",6.38K,+0.56%
"Dec 05, 2023","2,055.70","2,068.10","2,078.80","2,047.00",10.39K,-0.29%
"Dec 04, 2023","2,061.60","2,114.10","2,171.50","2,058.30",19.47K,-2.26%
"Dec 01, 2023","2,109.20","2,076.50","2,115.00","2,072.00",10.49K,+1.56%
"Nov 30, 2023","2,076.70","2,084.90","2,086.70","2,070.70",2.66K,-0.47%
"Nov 29, 2023","2,086.60","2,082.00","2,091.20","2,075.80",6.22K,+1.28%
"Nov 28, 2023","2,060.20","2,035.10","2,064.20","2,031.60",195.42K,+1.34%
"Nov 27, 2023","2,033.00","2,023.00","2,039.40","2,022.00",161.67K,+0.47%
"Nov 24, 2023","2,023.50","2,012.10","2,025.00","2,011.30",96.93K,+1.02%
"Nov 23, 2023","2,003.00","1,991.20","2,004.50","1,990.90",214.88K,-0.51%
"Nov 22, 2023","2,013.20","2,020.60","2,028.40","2,008.90",71.42K,-0.43%
"Nov 21, 2023","2,021.80","2,000.10","2,030.00","1,999.90",62.25K,+1.07%
"Nov 20, 2023","2,000.40","2,001.20","2,007.60","1,987.30",35.71K,-0.22%
"Nov 17, 2023","2,004.80","2,007.50","2,016.50","2,001.40",19.85K,-0.13%
"Nov 16, 2023","2,007.50","1,983.80","2,011.10","1,979.30",36.93K,+1.17%
"Nov 15, 2023","1,984.30","1,987.00","1,999.10","1,979.00",17.17K,-0.11%
"Nov 14, 2023","1,986.40","1,970.40","1,995.20","1,959.00",19.88K,+0.82%
"Nov 13, 2023","1,970.20","1,963.20","1,973.50","1,955.40",54.17K,+0.64%
"Nov 10, 2023","1,957.70","1,984.30","1,985.70","1,956.90",66.10K,-1.62%
"Nov 09, 2023","1,989.90","1,976.70","1,991.60","1,968.50",44.13K,+0.60%
"Nov 08, 2023","1,978.10","1,995.10","1,997.60","1,973.60",53.12K,-0.79%
"Nov 07, 2023","1,993.80","2,005.00","2,005.10","1,983.30",61.96K,-0.76%
"Nov 06, 2023","2,009.00","2,019.60","2,020.00","2,004.80",13.86K,-0.52%
"Nov 03, 2023","2,019.60","2,013.90","2,032.20","2,009.80",11.67K,+0.28%
"Nov 02, 2023","2,013.90","2,011.30","2,019.10","2,007.00",12.16K,+0.30%
"Nov 01, 2023","2,007.80","2,013.40","2,026.00","1,998.80",14.00K,-0.34%
"Oct 31, 2023","2,014.60","2,026.30","2,037.70","2,008.00",9.46K,-0.56%
"Oct 30, 2023","2,026.00","2,034.00","2,036.90","2,020.10",7.63K,+0.36%
"Oct 27, 2023","2,018.70","2,014.80","2,039.70","2,006.70",11.82K,+0.05%
"Oct 26, 2023","2,017.60","2,011.20","2,023.30","2,001.90",11.77K,+0.13%
"Oct 25, 2023","2,015.00","2,002.20","2,018.50","1,993.60",11.46K,+0.44%
"Oct 24, 2023","2,006.10","2,004.30","2,011.60","1,984.80",8.52K,-0.08%
"Oct 23, 2023","2,007.80","2,007.80","2,014.00","1,992.80",9.13K,-0.33%
"Oct 20, 2023","2,014.50","2,007.80","2,029.20","2,003.80",14.06K,+0.71%
"Oct 19, 2023","2,000.20","1,980.00","2,010.00","1,977.10",8.17K,+0.61%
"Oct 18, 2023","1,988.10","1,956.10","1,995.40","1,956.10",9.37K,+1.67%
"Oct 17, 2023","1,955.40","1,952.30","1,963.90","1,944.50",5.99K,+0.08%
"Oct 16, 2023","1,953.90","1,961.00","1,962.10","1,941.00",5.61K,-0.37%
"Oct 13, 2023","1,961.10","1,901.50","1,965.60","1,901.50",16.99K,+3.08%
"Oct 12, 2023","1,902.50","1,907.70","1,916.60","1,900.30",5.59K,-0.23%
"Oct 11, 2023","1,906.80","1,892.80","1,910.20","1,891.30",9.77K,+0.64%
"Oct 10, 2023","1,894.60","1,893.90","1,898.00","1,885.40",7.70K,+0.59%
"Oct 09, 2023","1,883.50","1,880.00","1,896.30","1,876.80",8.08K,+1.02%
"Oct 06, 2023","1,864.40","1,853.30","1,867.80","1,842.50",10.60K,+0.73%
"Oct 05, 2023","1,850.80","1,855.30","1,861.70","1,845.30",5.67K,-0.16%
"Oct 04, 2023","1,853.80","1,858.60","1,865.70","1,850.70",6.32K,-0.37%
"Oct 03, 2023","1,860.70","1,863.90","1,868.20","1,850.20",6.53K,-0.31%
"Oct 02, 2023","1,866.40","1,883.30","1,883.70","1,862.00",5.00K,-1.01%
"Sep 29, 2023","1,885.40","1,902.30","1,915.90","1,881.50",5.68K,-0.66%
"Sep 28, 2023","1,898.00","1,913.60","1,915.80","1,894.00",5.36K,+0.38%
"Sep 27, 2023","1,890.90","1,918.80","1,921.70","1,890.30",238.53K,-1.51%
"Sep 26, 2023","1,919.80","1,935.10","1,935.50","1,917.20",212.26K,-0.87%
"Sep 25, 2023","1,936.60","1,944.70","1,946.80","1,933.80",164.26K,-0.46%
"Sep 22, 2023","1,945.60","1,939.60","1,949.10","1,939.60",139.93K,+0.31%
"Sep 21, 2023","1,939.60","1,952.00","1,952.20","1,933.10",225.91K,-1.40%
"Sep 20, 2023","1,967.10","1,953.00","1,968.90","1,948.60",220.98K,+0.69%
"Sep 19, 2023","1,953.70","1,955.30","1,958.90","1,950.90",131.10K,+0.02%
"Sep 18, 2023","1,953.40","1,945.70","1,955.70","1,943.80",138.03K,+0.37%
"Sep 15, 2023","1,946.20","1,932.50","1,952.40","1,931.20",199.77K,+0.69%
"Sep 14, 2023","1,932.80","1,930.70","1,934.50","1,921.70",201.74K,+0.02%
"Sep 13, 2023","1,932.50","1,935.20","1,938.40","1,927.20",161.00K,-0.13%
"Sep 12, 2023","1,935.10","1,945.60","1,947.50","1,929.90",161.99K,-0.62%
"Sep 11, 2023","1,947.20","1,943.30","1,954.60","1,939.50",131.08K,+0.23%
"Sep 08, 2023","1,942.70","1,943.80","1,954.00","1,940.80",138.69K,+0.01%
